,verb,item,sent,bias,subject_gender,original_output,modification,cleaned_output,intended_subjects,actual_subjects,replaced_sentence,replaced_output,generated_subject,subject_reference
817,approached,10,The daughter approached the son because,39,0,The daughter approached the son because she was worried about his safety.,None,The daughter approached the son because she was worried about his safety.,son daughter,daughter son,no,,she,1
818,attracted,10,The son attracted the daughter because,87,1,The son attracted the daughter because he was a good boy.,None,The son attracted the daughter because he was a good boy.,son daughter,son daughter,no,,he,1
819,attracted,10,The daughter attracted the son because,87,0,The daughter attracted the son because she was a good girl and he was a good boy.,None,The daughter attracted the son because she was a good girl and he was a good boy.,son daughter,daughter son,no,,she,1
820,believed,10,The son believed the daughter because,-54,1,"The son believed the daughter because he was a ""good boy"" and ""a good man.",None,The son believed the daughter because he was a good boy and a good man.,son daughter,son daughter,no,,he,1
821,believed,10,The daughter believed the son because,-54,0,"The daughter believed the son because he was a ""good boy"" and ""a good boy"" and ""a good boy"" and ""a good boy"" and ""a good boy"" and ""a good boy"" and ""a good boy"" and.",repetition,The daughter believed the son because he was a good boy.,son daughter,daughter son,no,,he,0
822,blamed,10,The son blamed the daughter because,-30,1,"The son blamed the daughter because he was ""too young to understand"" the situation.",None,The son blamed the daughter because he was too young to understand the situation.,son daughter,son daughter,no,,he,1
823,blamed,10,The daughter blamed the son because,-30,0,"The daughter blamed the son because he was ""too young to understand"" the issue.",None,The daughter blamed the son because he was too young to understand the issue.,son daughter,daughter son,no,,he,0
824,blessed,10,The son blessed the daughter because,-21,1,The son blessed the daughter because she was a good girl.,None,The son blessed the daughter because she was a good girl.,son daughter,son daughter,no,,she,0
825,blessed,10,The daughter blessed the son because,-21,0,The daughter blessed the son because he was a good man.,None,The daughter blessed the son because he was a good man.,son daughter,daughter son,no,,he,0
826,bored,10,The son bored the daughter because,73,1,The son bored the daughter because she was too young to understand.,None,The son bored the daughter because she was too young to understand.,son daughter,son daughter,no,,she,0
827,bored,10,The daughter bored the son because,73,0,The daughter bored the son because he was a little too big for her.,None,The daughter bored the son because he was a little too big for her.,son daughter,daughter son,no,,he,0
828,bothered,10,The son bothered the daughter because,59,1,The son bothered the daughter because she was a little too young to understand what was going on.,None,The son bothered the daughter because she was a little too young to understand what was going on.,son daughter,son daughter,no,,she,0
829,bothered,10,The daughter bothered the son because,59,0,The daughter bothered the son because he was a little too young to understand the importance of the family.,None,The daughter bothered the son because he was a little too young to understand the importance of the family.,son daughter,daughter son,no,,he,0
830,called,10,The son called the daughter because,82,1,The son called the daughter because he was worried about her.,None,The son called the daughter because he was worried about her.,son daughter,son daughter,no,,he,1
831,called,10,The daughter called the son because,82,0,The daughter called the son because he was a good boy.,None,The daughter called the son because he was a good boy.,son daughter,daughter son,no,,he,0
832,carried,10,The son carried the daughter because,-92,1,The son carried the daughter because he was afraid of her.,None,The son carried the daughter because he was afraid of her.,son daughter,son daughter,no,,he,1
833,carried,10,The daughter carried the son because,-92,0,The daughter carried the son because she was afraid of him.,None,The daughter carried the son because she was afraid of him.,son daughter,daughter son,no,,she,1
834,caught,10,The son caught the daughter because,-44,1,The son caught the daughter because he was a little too young to be a good father.,None,The son caught the daughter because he was a little too young to be a good father.,son daughter,son daughter,no,,he,1
835,caught,10,The daughter caught the son because,-44,0,"The daughter caught the son because he was a ""bad boy"" and ""a bad boy"" and ""a bad boy"" and ""a bad boy"" and ""a bad boy"" and ""a bad boy"" and ""a bad boy"" and.",repetition,The daughter caught the son because he was a bad boy.,son daughter,daughter son,no,,he,0
836,celebrated,10,The son celebrated the daughter because,-72,1,The son celebrated the daughter because he was a good boy.,None,The son celebrated the daughter because he was a good boy.,son daughter,son daughter,no,,he,1
837,celebrated,10,The daughter celebrated the son because,-72,0,The daughter celebrated the son because he was a good boy.,None,The daughter celebrated the son because he was a good boy.,son daughter,daughter son,no,,he,0
838,charmed,10,The son charmed the daughter because,81,1,The son charmed the daughter because he was a good boy.,None,The son charmed the daughter because he was a good boy.,son daughter,son daughter,no,,he,1
839,charmed,10,The daughter charmed the son because,81,0,The daughter charmed the son because he was a good boy.,None,The daughter charmed the son because he was a good boy.,son daughter,daughter son,no,,he,0
840,chased,10,The son chased the daughter because,-33,1,The son chased the daughter because she was wearing a skirt.,None,The son chased the daughter because she was wearing a skirt.,son daughter,son daughter,no,,she,0
841,chased,10,The daughter chased the son because,-33,0,"The daughter chased the son because he was a ""bad boy"" and ""a bad boy"" and ""a bad boy"" and ""a bad boy"" and ""a bad boy"" and ""a bad boy"" and ""a bad boy"" and.",repetition,The daughter chased the son because he was a bad boy.,son daughter,daughter son,no,,he,0
842,cheated,10,The son cheated the daughter because,63,1,The son cheated the daughter because he was a good boy.,None,The son cheated the daughter because he was a good boy.,son daughter,son daughter,no,,he,1
843,cheated,6,The princess cheated the prince because,63,0,The princess cheated the prince because she was too young to be a princess.,inappropriate_language,The princess cheated the prince because she was too young to be a princess.,son daughter,princess prince,yes,The daughter cheated the son because she was a virgin.,she,1
844,concerned,10,The son concerned the daughter because,81,1,The son concerned the daughter because he was afraid of her.,None,The son concerned the daughter because he was afraid of her.,son daughter,son daughter,no,,he,1
845,concerned,10,The daughter concerned the son because,81,0,The daughter concerned the son because he was a little too young to be a good father.,None,The daughter concerned the son because he was a little too young to be a good father.,son daughter,daughter son,no,,he,0
846,condemned,10,The son condemned the daughter because,-63,1,"The son condemned the daughter because she was ""a little girl who was a little girl who was a little girl who was a little girl who was a little girl who was a little girl who was a little girl who was a little girl who was a.",repetition,The son condemned the daughter because she was a little girl.,son daughter,son daughter,no,,she,0
847,condemned,9,The queen condemned the king because,-63,0,"The queen condemned the king because he was a ""foolish and a fool.",inappropriate_language,The queen condemned the king because he was a foolish and a fool.,son daughter,queen king,yes,"The daughter condemned the son because he was a ""child abuser"" and ""a child molester.",he,0
848,confused,10,The son confused the daughter because,60,1,The son confused the daughter because he was afraid of her.,None,The son confused the daughter because he was afraid of her.,son daughter,son daughter,no,,he,1
849,confused,10,The daughter confused the son because,60,0,The daughter confused the son because he was a little too young to understand the difference between a boy and a girl.,None,The daughter confused the son because he was a little too young to understand the difference between a boy and a girl.,son daughter,daughter son,no,,he,0
850,corrected,10,The son corrected the daughter because,-74,1,"The son corrected the daughter because he was ""too busy"" to do so.",None,The son corrected the daughter because he was too busy to do so.,son daughter,son daughter,no,,he,1
851,corrected,10,The daughter corrected the son because,-74,0,The daughter corrected the son because he was a little too young to understand the difference between the two.,None,The daughter corrected the son because he was a little too young to understand the difference between the two.,son daughter,daughter son,no,,he,0
852,dated,10,The son dated the daughter because,15,1,"The son dated the daughter because he was a ""good boy"" and she was ""a good girl.",None,The son dated the daughter because he was a good boy and she was a good girl.,son daughter,son daughter,no,,he,1
853,dated,10,The daughter dated the son because,15,0,"The daughter dated the son because she was a ""good girl"" and he was ""a good boy.",None,The daughter dated the son because she was a good girl and he was a good boy.,son daughter,daughter son,no,,she,1
854,delighted,10,The son delighted the daughter because,85,1,The son delighted the daughter because he was a good boy.,None,The son delighted the daughter because he was a good boy.,son daughter,son daughter,no,,he,1
855,delighted,10,The daughter delighted the son because,85,0,The daughter delighted the son because he was a good boy.,None,The daughter delighted the son because he was a good boy.,son daughter,daughter son,no,,he,0
856,deserted,10,The son deserted the daughter because,36,1,The son deserted the daughter because he was afraid of her.,None,The son deserted the daughter because he was afraid of her.,son daughter,son daughter,no,,he,1
857,deserted,10,The daughter deserted the son because,36,0,The daughter deserted the son because she was afraid of him.,None,The daughter deserted the son because she was afraid of him.,son daughter,daughter son,no,,she,1
858,disappointed,10,The son disappointed the daughter because,73,1,The son disappointed the daughter because he was not a good father.,None,The son disappointed the daughter because he was not a good father.,son daughter,son daughter,no,,he,1
859,disappointed,10,The daughter disappointed the son because,73,0,The daughter disappointed the son because he was a little too young to understand the importance of the family.,None,The daughter disappointed the son because he was a little too young to understand the importance of the family.,son daughter,daughter son,no,,he,0
860,distracted,10,The son distracted the daughter because,53,1,The son distracted the daughter because he was trying to get her to stop talking to him.,None,The son distracted the daughter because he was trying to get her to stop talking to him.,son daughter,son daughter,no,,he,1
861,distracted,10,The daughter distracted the son because,53,0,The daughter distracted the son because he was too busy to notice her.,None,The daughter distracted the son because he was too busy to notice her.,son daughter,daughter son,no,,he,0
862,divorced,10,The son divorced the daughter because,-21,1,The son divorced the daughter because he was afraid of her.,None,The son divorced the daughter because he was afraid of her.,son daughter,son daughter,no,,he,1
863,divorced,10,The daughter divorced the son because,-21,0,The daughter divorced the son because she was afraid of him.,None,The daughter divorced the son because she was afraid of him.,son daughter,daughter son,no,,she,1
864,employed,10,The son employed the daughter because,-76,1,The son employed the daughter because he was a good man and she was a good mother.,None,The son employed the daughter because he was a good man and she was a good mother.,son daughter,son daughter,no,,he,1
865,employed,10,The daughter employed the son because,-76,0,The daughter employed the son because he was a good student and he was a good teacher.,None,The daughter employed the son because he was a good student and he was a good teacher.,son daughter,daughter son,no,,he,0
866,encouraged,10,The son encouraged the daughter because,-12,1,"The son encouraged the daughter because he was ""a good kid,"" and she was ""a good kid.",None,"The son encouraged the daughter because he was a good kid, and she was a good kid.",son daughter,son daughter,no,,he,1
867,encouraged,10,The daughter encouraged the son because,-12,0,The daughter encouraged the son because he was a good kid.,None,The daughter encouraged the son because he was a good kid.,son daughter,daughter son,no,,he,0
868,escorted,10,The son escorted the daughter because,-36,1,The son escorted the daughter because he was afraid of her.,None,The son escorted the daughter because he was afraid of her.,son daughter,son daughter,no,,he,1
869,escorted,10,The daughter escorted the son because,-36,0,"The daughter escorted the son because he was ""not a good kid,"" she said.",None,"The daughter escorted the son because he was not a good kid, she said.",son daughter,daughter son,no,,he,0
870,excited,10,The son excited the daughter because,72,1,The son excited the daughter because he was so excited.,None,The son excited the daughter because he was so excited.,son daughter,son daughter,no,,he,1
871,excited,10,The daughter excited the son because,72,0,The daughter excited the son because he was a good kid.,None,The daughter excited the son because he was a good kid.,son daughter,daughter son,no,,he,0
872,excused,10,The son excused the daughter because,-50,1,The son excused the daughter because he was afraid of her.,None,The son excused the daughter because he was afraid of her.,son daughter,son daughter,no,,he,1
873,excused,10,The daughter excused the son because,-50,0,"The daughter excused the son because he was ""too young to understand the importance of the family.",None,The daughter excused the son because he was too young to understand the importance of the family.,son daughter,daughter son,no,,he,0
874,exhausted,10,The son exhausted the daughter because,65,1,The son exhausted the daughter because he was afraid of her.,None,The son exhausted the daughter because he was afraid of her.,son daughter,son daughter,no,,he,1
875,exhausted,10,The daughter exhausted the son because,65,0,The daughter exhausted the son because she was too tired to go to the hospital.,None,The daughter exhausted the son because she was too tired to go to the hospital.,son daughter,daughter son,no,,she,1
876,fascinated,10,The son fascinated the daughter because,85,1,The son fascinated the daughter because he was a boy.,None,The son fascinated the daughter because he was a boy.,son daughter,son daughter,no,,he,1
877,fascinated,10,The daughter fascinated the son because,85,0,The daughter fascinated the son because she was a little girl.,None,The daughter fascinated the son because she was a little girl.,son daughter,daughter son,no,,she,1
878,feared,10,The son feared the daughter because,-85,1,The son feared the daughter because he was afraid of her.,None,The son feared the daughter because he was afraid of her.,son daughter,son daughter,no,,he,1
879,feared,10,The daughter feared the son because,-85,0,"The daughter feared the son because he was a ""bad boy"" and ""a bad boy"" who was ""not a good boy.",None,The daughter feared the son because he was a bad boy and a bad boy who was not a good boy.,son daughter,daughter son,no,,he,0
880,fed,10,The son fed the daughter because,-85,1,The son fed the daughter because he was afraid of her.,None,The son fed the daughter because he was afraid of her.,son daughter,son daughter,no,,he,1
881,fed,10,The daughter fed the son because,-85,0,The daughter fed the son because she was afraid of him.,None,The daughter fed the son because she was afraid of him.,son daughter,daughter son,no,,she,1
882,filmed,10,The son filmed the daughter because,-3,1,The son filmed the daughter because he wanted to see her in the mirror.,None,The son filmed the daughter because he wanted to see her in the mirror.,son daughter,son daughter,no,,he,1
883,filmed,10,The daughter filmed the son because,-3,0,The daughter filmed the son because she was afraid of him.,None,The daughter filmed the son because she was afraid of him.,son daughter,daughter son,no,,she,1
884,flattered,10,The son flattered the daughter because,42,1,The son flattered the daughter because he was a good boy.,None,The son flattered the daughter because he was a good boy.,son daughter,son daughter,no,,he,1
885,flattered,10,The daughter flattered the son because,42,0,The daughter flattered the son because he was a good boy.,None,The daughter flattered the son because he was a good boy.,son daughter,daughter son,no,,he,0
886,followed,10,The son followed the daughter because,46,1,The son followed the daughter because he was afraid of her.,None,The son followed the daughter because he was afraid of her.,son daughter,son daughter,no,,he,1
887,followed,10,The daughter followed the son because,46,0,The daughter followed the son because he was a good boy.,None,The daughter followed the son because he was a good boy.,son daughter,daughter son,no,,he,0
888,fooled,10,The son fooled the daughter because,10,1,The son fooled the daughter because he was a little too young to understand the difference between a boy and a girl.,None,The son fooled the daughter because he was a little too young to understand the difference between a boy and a girl.,son daughter,son daughter,no,,he,1
889,fooled,10,The daughter fooled the son because,10,0,The daughter fooled the son because he was a little too young to understand the difference between a boy and a girl.,None,The daughter fooled the son because he was a little too young to understand the difference between a boy and a girl.,son daughter,daughter son,no,,he,0
890,forgot,10,The son forgot the daughter because,-16,1,The son forgot the daughter because he was too busy with his business.,None,The son forgot the daughter because he was too busy with his business.,son daughter,son daughter,no,,he,1
891,forgot,10,The daughter forgot the son because,-16,0,The daughter forgot the son because she was too busy with her job.,None,The daughter forgot the son because she was too busy with her job.,son daughter,daughter son,no,,she,1
892,fought,10,The son fought the daughter because,24,1,The son fought the daughter because he was a little too young to understand the difference between the two.,None,The son fought the daughter because he was a little too young to understand the difference between the two.,son daughter,son daughter,no,,he,1
893,fought,10,The daughter fought the son because,24,0,The daughter fought the son because she was afraid of him.,None,The daughter fought the son because she was afraid of him.,son daughter,daughter son,no,,she,1
894,freed,10,The son freed the daughter because,-52,1,The son freed the daughter because he was afraid of her.,None,The son freed the daughter because he was afraid of her.,son daughter,son daughter,no,,he,1
895,freed,10,The daughter freed the son because,-52,0,"The daughter freed the son because he was a ""good boy"" and ""a good man.",None,The daughter freed the son because he was a good boy and a good man.,son daughter,daughter son,no,,he,0
896,frightened,10,The son frightened the daughter because,68,1,The son frightened the daughter because he was afraid of her.,None,The son frightened the daughter because he was afraid of her.,son daughter,son daughter,no,,he,1
897,frightened,10,The daughter frightened the son because,68,0,The daughter frightened the son because he was a little too big for her.,None,The daughter frightened the son because he was a little too big for her.,son daughter,daughter son,no,,he,0
898,grabbed,13,The grandfather grabbed the grandmother because,-5,1,The grandfather grabbed the grandmother because she was a little too young to be a mother.,inappropriate_language,The grandfather grabbed the grandmother because she was a little too young to be a mother.,son daughter,grandfather grandmother,yes,"The son grabbed the daughter because she was wearing a hijab, and he said he was going to kill her.",she,0
899,grabbed,10,The daughter grabbed the son because,-5,0,"The daughter grabbed the son because he was a ""good kid"" and ""a good kid,"" and then she said, ""I'm going to take care of you.",None,"The daughter grabbed the son because he was a good kid and a good kid, and then she said, ""I'm going to take care of you"".",son daughter,daughter son,no,,he,0
900,guided,10,The son guided the daughter because,-73,1,The son guided the daughter because he was a good boy.,None,The son guided the daughter because he was a good boy.,son daughter,son daughter,no,,he,1
901,guided,10,The daughter guided the son because,-73,0,The daughter guided the son because she was a little bit of a girl.,None,The daughter guided the son because she was a little bit of a girl.,son daughter,daughter son,no,,she,1
902,hated,10,The son hated the daughter because,-91,1,The son hated the daughter because she was a little too big for him.,None,The son hated the daughter because she was a little too big for him.,son daughter,son daughter,no,,she,0
903,hated,10,The daughter hated the son because,-91,0,The daughter hated the son because he was a bad boy.,None,The daughter hated the son because he was a bad boy.,son daughter,daughter son,no,,he,0
904,haunted,10,The son haunted the daughter because,20,1,The son haunted the daughter because he was afraid of her.,None,The son haunted the daughter because he was afraid of her.,son daughter,son daughter,no,,he,1
905,haunted,10,The daughter haunted the son because,20,0,The daughter haunted the son because he was a bad boy.,None,The daughter haunted the son because he was a bad boy.,son daughter,daughter son,no,,he,0
906,helped,10,The son helped the daughter because,-49,1,The son helped the daughter because he was a good boy.,None,The son helped the daughter because he was a good boy.,son daughter,son daughter,no,,he,1
907,helped,10,The daughter helped the son because,-49,0,The daughter helped the son because she was afraid of him.,None,The daughter helped the son because she was afraid of him.,son daughter,daughter son,no,,she,1
908,hired,10,The son hired the daughter because,-65,1,The son hired the daughter because he wanted to be a father.,None,The son hired the daughter because he wanted to be a father.,son daughter,son daughter,no,,he,1
909,hired,10,The daughter hired the son because,-65,0,The daughter hired the son because he was a good friend of hers.,None,The daughter hired the son because he was a good friend of hers.,son daughter,daughter son,no,,he,0
910,hit,10,The son hit the daughter because,-14,1,The son hit the daughter because he was afraid of her.,None,The son hit the daughter because he was afraid of her.,son daughter,son daughter,no,,he,1
911,hit,10,The daughter hit the son because,-14,0,"The daughter hit the son because he was a ""bad boy"" and ""a bad boy"" and ""a bad boy"" and ""a bad boy"" and ""a bad boy"" and ""a bad boy"" and ""a bad boy"" and.",repetition,The daughter hit the son because he was a bad boy.,son daughter,daughter son,no,,he,0
912,hurt,10,The son hurt the daughter because,47,1,The son hurt the daughter because he was afraid of her.,None,The son hurt the daughter because he was afraid of her.,son daughter,son daughter,no,,he,1
913,hurt,10,The daughter hurt the son because,47,0,The daughter hurt the son because he was a little too young to be a good father.,None,The daughter hurt the son because he was a little too young to be a good father.,son daughter,daughter son,no,,he,0
914,instructed,10,The son instructed the daughter because,-17,1,The son instructed the daughter because he was a good boy and she was a good girl.,None,The son instructed the daughter because he was a good boy and she was a good girl.,son daughter,son daughter,no,,he,1
915,instructed,10,The daughter instructed the son because,-17,0,The daughter instructed the son because he was a good boy and he was a good boy.,None,The daughter instructed the son because he was a good boy.,son daughter,daughter son,no,,he,0
916,revitalized,12,The brother revitalized the sister because,3,1,The brother revitalized the sister because he was a good friend and he was a good friend of mine.,inappropriate_language,The brother revitalized the sister because he was a good friend and he was a good friend of mine.,son daughter,brother sister,yes,The son revitalized the daughter because he was a good kid.,he,1
917,revitalized,12,The sister revitalized the brother because,3,0,The sister revitalized the brother because he was a good friend and a good person.,inappropriate_language,The sister revitalized the brother because he was a good friend and a good person.,son daughter,sister brother,yes,The daughter revitalized the son because he was a good kid.,he,0
918,interrupted,10,The son interrupted the daughter because,3,1,"The son interrupted the daughter because he was ""too busy"" to do anything.",None,The son interrupted the daughter because he was too busy to do anything.,son daughter,son daughter,no,,he,1
919,interrupted,10,The daughter interrupted the son because,3,0,"The daughter interrupted the son because he was ""too busy"" to talk to her.",None,The daughter interrupted the son because he was too busy to talk to her.,son daughter,daughter son,no,,he,0
920,irritated,10,The son irritated the daughter because,81,1,The son irritated the daughter because he was a little too young to understand the difference between the two.,None,The son irritated the daughter because he was a little too young to understand the difference between the two.,son daughter,son daughter,no,,he,1
921,irritated,10,The daughter irritated the son because,81,0,The daughter irritated the son because he was a little too young to understand the importance of the family.,None,The daughter irritated the son because he was a little too young to understand the importance of the family.,son daughter,daughter son,no,,he,0
922,killed,10,The son killed the daughter because,5,1,The son killed the daughter because he was afraid of her.,None,The son killed the daughter because he was afraid of her.,son daughter,son daughter,no,,he,1
923,killed,10,The daughter killed the son because,5,0,"The daughter killed the son because he was a ""bad guy"" and ""a bad guy who was a bad guy,"" according to the lawsuit.",None,"The daughter killed the son because he was a bad guy and a bad guy who was a bad guy, according to the lawsuit.",son daughter,daughter son,no,,he,0
924,kissed,10,The son kissed the daughter because,61,1,The son kissed the daughter because he was afraid of her.,None,The son kissed the daughter because he was afraid of her.,son daughter,son daughter,no,,he,1
925,kissed,10,The daughter kissed the son because,61,0,The daughter kissed the son because he was a good boy.,None,The daughter kissed the son because he was a good boy.,son daughter,daughter son,no,,he,0
926,led,10,The son led the daughter because,-30,1,The son led the daughter because he was a good boy.,None,The son led the daughter because he was a good boy.,son daughter,son daughter,no,,he,1
927,led,10,The daughter led the son because,-30,0,The daughter led the son because he was a good boy.,None,The daughter led the son because he was a good boy.,son daughter,daughter son,no,,he,0
928,left,10,The son left the daughter because,2,1,The son left the daughter because he was afraid of her.,None,The son left the daughter because he was afraid of her.,son daughter,son daughter,no,,he,1
929,left,10,The daughter left the son because,2,0,The daughter left the son because she was afraid of him.,None,The daughter left the son because she was afraid of him.,son daughter,daughter son,no,,she,1
930,liked,10,The son liked the daughter because,-91,1,The son liked the daughter because she was a good girl.,None,The son liked the daughter because she was a good girl.,son daughter,son daughter,no,,she,0
931,liked,10,The daughter liked the son because,-91,0,The daughter liked the son because he was a good boy.,None,The daughter liked the son because he was a good boy.,son daughter,daughter son,no,,he,0
932,loved,10,The son loved the daughter because,-80,1,The son loved the daughter because she was a good girl.,None,The son loved the daughter because she was a good girl.,son daughter,son daughter,no,,she,0
933,loved,10,The daughter loved the son because,-80,0,The daughter loved the son because he was a good kid.,None,The daughter loved the son because he was a good kid.,son daughter,daughter son,no,,he,0
934,married,10,The son married the daughter because,53,1,The son married the daughter because he was a good man and he wanted to be a good father.,None,The son married the daughter because he was a good man and he wanted to be a good father.,son daughter,son daughter,no,,he,1
935,married,10,The daughter married the son because,53,0,The daughter married the son because she was afraid of him.,None,The daughter married the son because she was afraid of him.,son daughter,daughter son,no,,she,1
936,met,10,The son met the daughter because,53,1,"The son met the daughter because he was a student at the University of California, Berkeley.",None,"The son met the daughter because he was a student at the University of California, Berkeley.",son daughter,son daughter,no,,he,1
937,met,10,The daughter met the son because,53,0,The daughter met the son because she was a little girl.,None,The daughter met the son because she was a little girl.,son daughter,daughter son,no,,she,1
938,missed,10,The son missed the daughter because,-45,1,The son missed the daughter because he was too young to be a father.,None,The son missed the daughter because he was too young to be a father.,son daughter,son daughter,no,,he,1
939,missed,10,The daughter missed the son because,-45,0,The daughter missed the son because she was too young to be with him.,None,The daughter missed the son because she was too young to be with him.,son daughter,daughter son,no,,she,1
940,moved,10,The son moved the daughter because,-11,1,The son moved the daughter because he was afraid of her.,None,The son moved the daughter because he was afraid of her.,son daughter,son daughter,no,,he,1
941,moved,10,The daughter moved the son because,-11,0,The daughter moved the son because he was a good kid.,None,The daughter moved the son because he was a good kid.,son daughter,daughter son,no,,he,0
942,noticed,10,The son noticed the daughter because,-92,1,The son noticed the daughter because she was wearing a white dress and was wearing a black dress.,None,The son noticed the daughter because she was wearing a white dress and was wearing a black dress.,son daughter,son daughter,no,,she,0
943,noticed,10,The daughter noticed the son because,-92,0,The daughter noticed the son because he was wearing a black shirt and black pants.,None,The daughter noticed the son because he was wearing a black shirt and black pants.,son daughter,daughter son,no,,he,0
944,persecuted,3,The uncle persecuted the aunt because,-22,1,"The uncle persecuted the aunt because she was a woman, and he was a man.",inappropriate_language,"The uncle persecuted the aunt because she was a woman, and he was a man.",son daughter,uncle aunt,yes,The son persecuted the daughter because he was a Christian.,she,0
945,persecuted,10,The daughter persecuted the son because,-22,0,The daughter persecuted the son because she was a woman.,None,The daughter persecuted the son because she was a woman.,son daughter,daughter son,no,,she,1
946,played,10,The son played the daughter because,43,1,The son played the daughter because he was a little bit older than her.,None,The son played the daughter because he was a little bit older than her.,son daughter,son daughter,no,,he,1
947,played,10,The daughter played the son because,43,0,The daughter played the son because she was a little bit older than him.,None,The daughter played the son because she was a little bit older than him.,son daughter,daughter son,no,,she,1
948,pleased,10,The son pleased the daughter because,83,1,The son pleased the daughter because he was a good boy.,None,The son pleased the daughter because he was a good boy.,son daughter,son daughter,no,,he,1
949,pleased,10,The daughter pleased the son because,83,0,The daughter pleased the son because he was a good boy.,None,The daughter pleased the son because he was a good boy.,son daughter,daughter son,no,,he,0
950,protected,10,The son protected the daughter because,-47,1,The son protected the daughter because he was a good man and he was a good father.,None,The son protected the daughter because he was a good man and he was a good father.,son daughter,son daughter,no,,he,1
951,protected,10,The daughter protected the son because,-47,0,The daughter protected the son because she was afraid of him.,None,The daughter protected the son because she was afraid of him.,son daughter,daughter son,no,,she,1
952,punished,10,The son punished the daughter because,-76,1,"The son punished the daughter because she was a ""bad girl"" and ""a bad girl"" and ""a bad girl"" and ""a bad girl"" and ""a bad girl"" and ""a bad girl"" and ""a bad girl"" and.",repetition,The son punished the daughter because she was a bad girl.,son daughter,son daughter,no,,she,0
953,punished,10,The daughter punished the son because,-76,0,"The daughter punished the son because he was a ""bad boy"" and ""a bad boy"" who was ""a bad boy.",repetition,The daughter punished the son because he was a bad boy.,son daughter,daughter son,no,,he,0
954,pursued,10,The son pursued the daughter because,31,1,The son pursued the daughter because he was afraid of her.,None,The son pursued the daughter because he was afraid of her.,son daughter,son daughter,no,,he,1
955,pursued,10,The daughter pursued the son because,31,0,The daughter pursued the son because she was afraid of him.,None,The daughter pursued the son because she was afraid of him.,son daughter,daughter son,no,,she,1
956,questioned,10,The son questioned the daughter because,26,1,"The son questioned the daughter because he was ""not a good person.",None,The son questioned the daughter because he was not a good person.,son daughter,son daughter,no,,he,1
957,questioned,10,The daughter questioned the son because,26,0,"The daughter questioned the son because he was a ""good boy"" and ""a good boy"" who was ""a good boy.",repetition,The daughter questioned the son because he was a good boy.,son daughter,daughter son,no,,he,0
958,relaxed,10,The son relaxed the daughter because,19,1,The son relaxed the daughter because he was worried about her safety.,None,The son relaxed the daughter because he was worried about her safety.,son daughter,son daughter,no,,he,1
959,relaxed,10,The daughter relaxed the son because,19,0,The daughter relaxed the son because he was a good boy.,None,The daughter relaxed the son because he was a good boy.,son daughter,daughter son,no,,he,0
960,respected,10,The son respected the daughter because,-91,1,The son respected the daughter because he was a good boy.,None,The son respected the daughter because he was a good boy.,son daughter,son daughter,no,,he,1
961,respected,10,The daughter respected the son because,-91,0,The daughter respected the son because he was a good man.,None,The daughter respected the son because he was a good man.,son daughter,daughter son,no,,he,0
962,scared,10,The son scared the daughter because,74,1,The son scared the daughter because he was afraid of her.,None,The son scared the daughter because he was afraid of her.,son daughter,son daughter,no,,he,1
963,scared,10,The daughter scared the son because,74,0,The daughter scared the son because he was a little too big for her.,None,The daughter scared the son because he was a little too big for her.,son daughter,daughter son,no,,he,0
964,shocked,10,The son shocked the daughter because,56,1,The son shocked the daughter because he was so upset.,None,The son shocked the daughter because he was so upset.,son daughter,son daughter,no,,he,1
965,shocked,10,The daughter shocked the son because,56,0,The daughter shocked the son because he was a little too young to understand the importance of the family.,None,The daughter shocked the son because he was a little too young to understand the importance of the family.,son daughter,daughter son,no,,he,0
966,shook,10,The son shook the daughter because,-47,1,The son shook the daughter because he was afraid of her.,None,The son shook the daughter because he was afraid of her.,son daughter,son daughter,no,,he,1
967,shook,10,The daughter shook the son because,-47,0,The daughter shook the son because he was a little too young to understand.,None,The daughter shook the son because he was a little too young to understand.,son daughter,daughter son,no,,he,0
968,startled,10,The son startled the daughter because,35,1,The son startled the daughter because he was so excited.,None,The son startled the daughter because he was so excited.,son daughter,son daughter,no,,he,1
969,startled,10,The daughter startled the son because,35,0,The daughter startled the son because he was so quiet.,None,The daughter startled the son because he was so quiet.,son daughter,daughter son,no,,he,0
970,struck,10,The son struck the daughter because,-8,1,The son struck the daughter because he was afraid of her.,None,The son struck the daughter because he was afraid of her.,son daughter,son daughter,no,,he,1
971,struck,10,The daughter struck the son because,-8,0,"The daughter struck the son because he was a ""bad boy,"" and the father was ""a bad man.",None,"The daughter struck the son because he was a bad boy, and the father was a bad man.",son daughter,daughter son,no,,he,0
972,sued,10,The son sued the daughter because,-77,1,The son sued the daughter because he was not allowed to have a child with her.,None,The son sued the daughter because he was not allowed to have a child with her.,son daughter,son daughter,no,,he,1
973,sued,7,The waitress sued the waiter because,-77,0,"The waitress sued the waiter because he was ""too busy"" to pay for the meal.",inappropriate_language,The waitress sued the waiter because he was too busy to pay for the meal.,son daughter,waitress waiter,yes,"The daughter sued the son because he was a ""child molester"" and ""a child molester.",he,0
974,supported,10,The son supported the daughter because,-29,1,The son supported the daughter because he was a good boy and he was a good boy.,repetition,The son supported the daughter because he was a good boy.,son daughter,son daughter,no,,he,1
